OCCUPATION,ENTRY-LEVEL EDUCATION ,ON-THE-JOB TRAINING ,PROJECTED NUMBER OF NEW JOBS ,PROJECTED GROWTH RATE ,2021 MEDIAN PAY 
"Architecture teachers, postsecondary",Doctoral or professional degree,None,0 to 999,As fast as average,"$80,000 or more"
Archivists,Master’s degree,None,0 to 999,Faster than average,"$60,000 to $79,999"
"Area, ethnic, and cultural studies teachers, postsecondary",Doctoral or professional degree,None,"1,000 to 4,999",As fast as average,"$60,000 to $79,999"
Art directors,Bachelor’s degree,None,"10,000 to 49,999",Faster than average,"$80,000 or more"
"Art, drama, and music teachers, postsecondary",Master’s degree,None,"10,000 to 49,999",As fast as average,"$60,000 to $79,999"
"Artists and related workers, all other",No formal educational credential,Long-term on-the-job training,"1,000 to 4,999",As fast as average,"$60,000 to $79,999"
Astronomers,Doctoral or professional degree,None,0 to 999,Slower than average,"$80,000 or more"
Athletes and sports competitors,No formal educational credential,Long-term on-the-job training,"5,000 to 9,999",Much faster than average,"$60,000 to $79,999"
Athletic trainers,Bachelor’s degree,None,"5,000 to 9,999",Much faster than average,"$40,000 to $59,999"
Atmospheric and space scientists,Bachelor’s degree,None,0 to 999,As fast as average,"$80,000 or more"
"Atmospheric, earth, marine, and space sciences teachers, postsecondary",Doctoral or professional degree,None,0 to 999,As fast as average,"$80,000 or more"
Audio and video technicians,Postsecondary nondegree award,Short-term on-the-job training,"10,000 to 49,999",Much faster than average,"$40,000 to $59,999"
Audiologists,Doctoral or professional degree,None,"1,000 to 4,999",Much faster than average,"$60,000 to $79,999"
Audiovisual equipment installers and repairers,Postsecondary nondegree award,Short-term on-the-job training,Declining,Decline,"$40,000 to $59,999"
Automotive and watercraft service attendants,No formal educational credential,Short-term on-the-job training,"5,000 to 9,999",Slower than average,"Less than $30,000"
Automotive body and related repairers,High school diploma or equivalent,Long-term on-the-job training,"5,000 to 9,999",Slower than average,"$40,000 to $59,999"
Automotive glass installers and repairers,High school diploma or equivalent,Moderate-term on-the-job training,"1,000 to 4,999",As fast as average,"$30,000 to $39,999"
Automotive service technicians and mechanics,Postsecondary nondegree award,Short-term on-the-job training,"1,000 to 4,999",Little or no change,"$40,000 to $59,999"
Avionics technicians,Associate’s degree,None,"1,000 to 4,999",As fast as average,"$60,000 to $79,999"
Baggage porters and bellhops,High school diploma or equivalent,Short-term on-the-job training,"5,000 to 9,999",Much faster than average,"Less than $30,000"
Bailiffs,High school diploma or equivalent,Moderate-term on-the-job training,0 to 999,Little or no change,"$40,000 to $59,999"
Bakers,No formal educational credential,Long-term on-the-job training,"10,000 to 49,999",As fast as average,"Less than $30,000"
Barbers,Postsecondary nondegree award,None,"5,000 to 9,999",Much faster than average,"Less than $30,000"
Bartenders,No formal educational credential,Short-term on-the-job training,"50,000 or more",Much faster than average,"Less than $30,000"
Bicycle repairers,High school diploma or equivalent,Moderate-term on-the-job training,0 to 999,Slower than average,"$30,000 to $39,999"
Bill and account collectors,High school diploma or equivalent,Moderate-term on-the-job training,Declining,Decline,"$30,000 to $39,999"
Billing and posting clerks,High school diploma or equivalent,Moderate-term on-the-job training,"10,000 to 49,999",Slower than average,"$30,000 to $39,999"
Biochemists and biophysicists,Doctoral or professional degree,None,"1,000 to 4,999",Slower than average,"$80,000 or more"
Bioengineers and biomedical engineers,Bachelor’s degree,None,"1,000 to 4,999",As fast as average,"$80,000 or more"
"Biological science teachers, postsecondary",Doctoral or professional degree,None,"5,000 to 9,999",Faster than average,"$80,000 or more"
"Biological scientists, all other",Bachelor’s degree,None,"1,000 to 4,999",Slower than average,"$80,000 or more"
Biological technicians,Bachelor’s degree,None,"5,000 to 9,999",As fast as average,"$40,000 to $59,999"
Boilermakers,High school diploma or equivalent,Apprenticeship,Declining,Little or no change,"$60,000 to $79,999"
"Bookkeeping, accounting, and auditing clerks","Some college, no degree",Moderate-term on-the-job training,Declining,Decline,"$40,000 to $59,999"
Brickmasons and blockmasons,High school diploma or equivalent,Apprenticeship,Declining,Decline,"$40,000 to $59,999"
Bridge and lock tenders,High school diploma or equivalent,Short-term on-the-job training,0 to 999,Slower than average,"$40,000 to $59,999"
Broadcast announcers and radio disc jockeys,Bachelor’s degree,None,"1,000 to 4,999",As fast as average,"$30,000 to $39,999"
Broadcast technicians,Associate’s degree,Short-term on-the-job training,"1,000 to 4,999",Faster than average,"$40,000 to $59,999"
Brokerage clerks,High school diploma or equivalent,Moderate-term on-the-job training,Declining,Decline,"$40,000 to $59,999"
Budget analysts,Bachelor’s degree,None,"1,000 to 4,999",Slower than average,"$60,000 to $79,999"
"Building cleaning workers, all other",No formal educational credential,Short-term on-the-job training,0 to 999,Slower than average,"$30,000 to $39,999"
Bus and truck mechanics and diesel engine specialists,High school diploma or equivalent,Long-term on-the-job training,"10,000 to 49,999",As fast as average,"$40,000 to $59,999"
"Bus drivers, transit and intercity",High school diploma or equivalent,Moderate-term on-the-job training,"10,000 to 49,999",Much faster than average,"$40,000 to $59,999"
"Business teachers, postsecondary",Doctoral or professional degree,None,"5,000 to 9,999",As fast as average,"$80,000 or more"
Butchers and meat cutters,No formal educational credential,Long-term on-the-job training,Declining,Decline,"$30,000 to $39,999"
Buyers and purchasing agents,Bachelor’s degree,Moderate-term on-the-job training,Declining,Decline,"$60,000 to $79,999"
Cabinetmakers and bench carpenters,High school diploma or equivalent,Moderate-term on-the-job training,"5,000 to 9,999",As fast as average,"$30,000 to $39,999"
"Calibration technologists and technicians and engineering technologists and technicians, except drafters, all other",Associate’s degree,None,"1,000 to 4,999",Slower than average,"$60,000 to $79,999"
Camera and photographic equipment repairers,High school diploma or equivalent,Long-term on-the-job training,0 to 999,As fast as average,"$30,000 to $39,999"
"Camera operators, television, video, and film",Bachelor’s degree,None,"5,000 to 9,999",Much faster than average,"$40,000 to $59,999"
"Captains, mates, and pilots of water vessels",Postsecondary nondegree award,None,"1,000 to 4,999",Faster than average,"$80,000 or more"
Cardiovascular technologists and technicians,Associate’s degree,None,"1,000 to 4,999",As fast as average,"$60,000 to $79,999"
"Career/technical education teachers, middle school",Bachelor’s degree,None,0 to 999,As fast as average,"$60,000 to $79,999"
"Career/technical education teachers, postsecondary",Bachelor’s degree,None,"1,000 to 4,999",Slower than average,"$40,000 to $59,999"
"Career/technical education teachers, secondary school",Bachelor’s degree,None,"5,000 to 9,999",As fast as average,"$60,000 to $79,999"
Cargo and freight agents,High school diploma or equivalent,Short-term on-the-job training,"5,000 to 9,999",As fast as average,"$40,000 to $59,999"
Carpenters,High school diploma or equivalent,Apprenticeship,"10,000 to 49,999",Slower than average,"$40,000 to $59,999"
Carpet installers,No formal educational credential,Short-term on-the-job training,Declining,Decline,"$40,000 to $59,999"
Cartographers and photogrammetrists,Bachelor’s degree,None,0 to 999,Slower than average,"$60,000 to $79,999"
Cashiers,No formal educational credential,Short-term on-the-job training,Declining,Decline,"Less than $30,000"
Cement masons and concrete finishers,No formal educational credential,Moderate-term on-the-job training,Declining,Little or no change,"$40,000 to $59,999"
Chefs and head cooks,High school diploma or equivalent,None,"10,000 to 49,999",Much faster than average,"$40,000 to $59,999"
Chemical engineers,Bachelor’s degree,None,"1,000 to 4,999",As fast as average,"$80,000 or more"
Chemical equipment operators and tenders,High school diploma or equivalent,Moderate-term on-the-job training,Declining,Decline,"$40,000 to $59,999"
Chemical plant and system operators,High school diploma or equivalent,Moderate-term on-the-job training,Declining,Little or no change,"$60,000 to $79,999"
Chemical technicians,Associate’s degree,Moderate-term on-the-job training,"1,000 to 4,999",Slower than average,"$40,000 to $59,999"
"Chemistry teachers, postsecondary",Doctoral or professional degree,None,"1,000 to 4,999",As fast as average,"$60,000 to $79,999"
Chemists,Bachelor’s degree,None,"5,000 to 9,999",As fast as average,"$60,000 to $79,999"
Chief executives,Bachelor’s degree,None,Declining,Decline,"$80,000 or more"
"Child, family, and school social workers",Bachelor’s degree,None,"10,000 to 49,999",Faster than average,"$40,000 to $59,999"
Childcare workers,High school diploma or equivalent,Short-term on-the-job training,"50,000 or more",As fast as average,"Less than $30,000"
Chiropractors,Doctoral or professional degree,None,"5,000 to 9,999",Faster than average,"$60,000 to $79,999"
Choreographers,High school diploma or equivalent,Long-term on-the-job training,"1,000 to 4,999",Much faster than average,"$40,000 to $59,999"
Civil engineering technologists and technicians,Associate’s degree,None,"1,000 to 4,999",Slower than average,"$40,000 to $59,999"
Civil engineers,Bachelor’s degree,None,"10,000 to 49,999",As fast as average,"$80,000 or more"
"Claims adjusters, examiners, and investigators",High school diploma or equivalent,Long-term on-the-job training,Declining,Decline,"$60,000 to $79,999"
Cleaners of vehicles and equipment,No formal educational credential,Short-term on-the-job training,"10,000 to 49,999",As fast as average,"Less than $30,000"
"Cleaning, washing, and metal pickling equipment operators and tenders",High school diploma or equivalent,Moderate-term on-the-job training,0 to 999,As fast as average,"$30,000 to $39,999"
Clergy,Bachelor’s degree,Moderate-term on-the-job training,"5,000 to 9,999",Slower than average,"$40,000 to $59,999"
Clinical laboratory technologists and technicians,Bachelor’s degree,None,"10,000 to 49,999",Faster than average,"$40,000 to $59,999"
"Clinical, counseling, and school psychologists",Doctoral or professional degree,Internship/residency,"10,000 to 49,999",As fast as average,"$60,000 to $79,999"
Coaches and scouts,Bachelor’s degree,None,"50,000 or more",Much faster than average,"$30,000 to $39,999"
"Coating, painting, and spraying machine setters, operators, and tenders",High school diploma or equivalent,Moderate-term on-the-job training,"10,000 to 49,999",As fast as average,"$30,000 to $39,999"
"Coil winders, tapers, and finishers",High school diploma or equivalent,Moderate-term on-the-job training,Declining,Decline,"$30,000 to $39,999"
"Coin, vending, and amusement machine servicers and repairers",High school diploma or equivalent,Short-term on-the-job training,"1,000 to 4,999",As fast as average,"$30,000 to $39,999"
Commercial and industrial designers,Bachelor’s degree,None,"1,000 to 4,999",As fast as average,"$60,000 to $79,999"
Commercial divers,Postsecondary nondegree award,Moderate-term on-the-job training,0 to 999,Much faster than average,"$60,000 to $79,999"
Commercial pilots,High school diploma or equivalent,Moderate-term on-the-job training,"1,000 to 4,999",Faster than average,"$80,000 or more"
"Communications equipment operators, all other",High school diploma or equivalent,Short-term on-the-job training,0 to 999,Faster than average,"$40,000 to $59,999"
"Communications teachers, postsecondary",Doctoral or professional degree,None,"1,000 to 4,999",As fast as average,"$60,000 to $79,999"
"Community and social service specialists, all other",Bachelor’s degree,None,"10,000 to 49,999",Faster than average,"$40,000 to $59,999"
Community health workers,High school diploma or equivalent,Short-term on-the-job training,"10,000 to 49,999",Much faster than average,"$40,000 to $59,999"
Compensation and benefits managers,Bachelor’s degree,None,0 to 999,Slower than average,"$80,000 or more"
"Compensation, benefits, and job analysis specialists",Bachelor’s degree,None,"5,000 to 9,999",As fast as average,"$60,000 to $79,999"
Compliance officers,Bachelor’s degree,Moderate-term on-the-job training,"10,000 to 49,999",As fast as average,"$60,000 to $79,999"
Computer and information research scientists,Master’s degree,None,"5,000 to 9,999",Much faster than average,"$80,000 or more"
Computer and information systems managers,Bachelor’s degree,None,"50,000 or more",Faster than average,"$80,000 or more"
Computer hardware engineers,Bachelor’s degree,None,"1,000 to 4,999",Slower than average,"$80,000 or more"
Computer network architects,Bachelor’s degree,None,"5,000 to 9,999",Slower than average,"$80,000 or more"
Computer network support specialists,Associate’s degree,None,"10,000 to 49,999",As fast as average,"$60,000 to $79,999"
Computer numerically controlled tool operators,High school diploma or equivalent,Moderate-term on-the-job training,Declining,Decline,The annual wage is not available.
Computer numerically controlled tool programmers,Postsecondary nondegree award,Moderate-term on-the-job training,"5,000 to 9,999",Much faster than average,The annual wage is not available.
"Computer occupations, all other",Bachelor’s degree,None,"10,000 to 49,999",As fast as average,The annual wage is not available.
Computer programmers,Bachelor’s degree,None,Declining,Decline,"$80,000 or more"
"Computer science teachers, postsecondary",Doctoral or professional degree,None,"1,000 to 4,999",As fast as average,"$60,000 to $79,999"
Computer systems analysts,Bachelor’s degree,None,"10,000 to 49,999",As fast as average,"$80,000 or more"
Computer user support specialists,"Some college, no degree",None,"50,000 or more",As fast as average,"$40,000 to $59,999"
"Computer, automated teller, and office machine repairers","Some college, no degree",Short-term on-the-job training,Declining,Decline,"$40,000 to $59,999"
Concierges,High school diploma or equivalent,Moderate-term on-the-job training,"5,000 to 9,999",Much faster than average,"$30,000 to $39,999"
Conservation scientists,Bachelor’s degree,None,"1,000 to 4,999",As fast as average,"$60,000 to $79,999"
Construction and building inspectors,High school diploma or equivalent,Moderate-term on-the-job training,Declining,Decline,"$60,000 to $79,999"
Construction laborers,No formal educational credential,Short-term on-the-job training,"50,000 or more",As fast as average,"$30,000 to $39,999"
Construction managers,Bachelor’s degree,Moderate-term on-the-job training,"50,000 or more",Faster than average,"$80,000 or more"
Continuous mining machine operators,No formal educational credential,Moderate-term on-the-job training,0 to 999,As fast as average,"$60,000 to $79,999"
"Control and valve installers and repairers, except mechanical door",High school diploma or equivalent,Moderate-term on-the-job training,"1,000 to 4,999",Slower than average,"$60,000 to $79,999"
Conveyor operators and tenders,No formal educational credential,Short-term on-the-job training,"1,000 to 4,999",As fast as average,"$30,000 to $39,999"
"Cooks, all other",No formal educational credential,Moderate-term on-the-job training,"1,000 to 4,999",Faster than average,"$30,000 to $39,999"
"Cooks, fast food",No formal educational credential,Short-term on-the-job training,Declining,Decline,"Less than $30,000"
"Cooks, institution and cafeteria",No formal educational credential,Short-term on-the-job training,"10,000 to 49,999",As fast as average,"Less than $30,000"
"Cooks, private household",Postsecondary nondegree award,None,0 to 999,Slower than average,"$40,000 to $59,999"
"Cooks, restaurant",No formal educational credential,Moderate-term on-the-job training,"50,000 or more",Much faster than average,"$30,000 to $39,999"
"Cooks, short order",No formal educational credential,Short-term on-the-job training,"10,000 to 49,999",As fast as average,"Less than $30,000"
Cooling and freezing equipment operators and tenders,High school diploma or equivalent,Moderate-term on-the-job training,0 to 999,As fast as average,"$40,000 to $59,999"
Correctional officers and jailers,High school diploma or equivalent,Moderate-term on-the-job training,Declining,Decline,"$40,000 to $59,999"
Correspondence clerks,High school diploma or equivalent,Short-term on-the-job training,Declining,Decline,"$30,000 to $39,999"
Cost estimators,Bachelor’s degree,Moderate-term on-the-job training,"1,000 to 4,999",Little or no change,"$60,000 to $79,999"
Costume attendants,High school diploma or equivalent,Short-term on-the-job training,"1,000 to 4,999",Much faster than average,"$40,000 to $59,999"
"Counselors, all other",Master’s degree,None,"1,000 to 4,999",As fast as average,"$40,000 to $59,999"
Counter and rental clerks,No formal educational credential,Short-term on-the-job training,"10,000 to 49,999",As fast as average,"$30,000 to $39,999"
Couriers and messengers,High school diploma or equivalent,Short-term on-the-job training,Declining,Decline,"$30,000 to $39,999"
Court reporters and simultaneous captioners,Postsecondary nondegree award,Short-term on-the-job training,0 to 999,Slower than average,"$60,000 to $79,999"
"Court, municipal, and license clerks",High school diploma or equivalent,Long-term on-the-job training,"5,000 to 9,999",As fast as average,"$40,000 to $59,999"
Craft artists,No formal educational credential,Long-term on-the-job training,"1,000 to 4,999",Faster than average,"$30,000 to $39,999"
Crane and tower operators,High school diploma or equivalent,Moderate-term on-the-job training,"1,000 to 4,999",Slower than average,"$60,000 to $79,999"
Credit analysts,Bachelor’s degree,None,Declining,Decline,"$60,000 to $79,999"
"Credit authorizers, checkers, and clerks",High school diploma or equivalent,Moderate-term on-the-job training,Declining,Decline,"$40,000 to $59,999"
Credit counselors,Bachelor’s degree,Moderate-term on-the-job training,"1,000 to 4,999",As fast as average,"$40,000 to $59,999"
"Crematory operators and personal care and service workers, all other",High school diploma or equivalent,Short-term on-the-job training,"10,000 to 49,999",Much faster than average,"Less than $30,000"
"Criminal justice and law enforcement teachers, postsecondary",Doctoral or professional degree,None,"1,000 to 4,999",Faster than average,"$60,000 to $79,999"
Crossing guards and flaggers,No formal educational credential,Short-term on-the-job training,"10,000 to 49,999",Faster than average,"$30,000 to $39,999"
"Crushing, grinding, and polishing machine setters, operators, and tenders",High school diploma or equivalent,Moderate-term on-the-job training,Declining,Little or no change,"$30,000 to $39,999"
Curators,Master’s degree,None,"1,000 to 4,999",Much faster than average,"$60,000 to $79,999"
Customer service representatives,High school diploma or equivalent,Short-term on-the-job training,Declining,Little or no change,"$30,000 to $39,999"
"Cutters and trimmers, hand",No formal educational credential,Short-term on-the-job training,Declining,Decline,"$30,000 to $39,999"
"Cutting and slicing machine setters, operators, and tenders",High school diploma or equivalent,Moderate-term on-the-job training,Declining,Decline,"$30,000 to $39,999"
"Cutting, punching, and press machine setters, operators, and tenders, metal and plastic",High school diploma or equivalent,Moderate-term on-the-job training,Declining,Decline,"$30,000 to $39,999"
Dancers,No formal educational credential,Long-term on-the-job training,"1,000 to 4,999",Much faster than average,The annual wage is not available.
Data entry keyers,High school diploma or equivalent,Short-term on-the-job training,Declining,Decline,"$30,000 to $39,999"
"Data scientists and mathematical science occupations, all other",Bachelor’s degree,None,"10,000 to 49,999",Much faster than average,"$80,000 or more"
Database administrators and architects,Bachelor’s degree,None,"10,000 to 49,999",As fast as average,The annual wage is not available.
Demonstrators and product promoters,No formal educational credential,Short-term on-the-job training,"5,000 to 9,999",As fast as average,"$30,000 to $39,999"
Dental assistants,Postsecondary nondegree award,None,"10,000 to 49,999",Faster than average,"$30,000 to $39,999"
Dental hygienists,Associate’s degree,None,"10,000 to 49,999",Faster than average,"$60,000 to $79,999"
Dental laboratory technicians,High school diploma or equivalent,Moderate-term on-the-job training,"1,000 to 4,999",Faster than average,"$40,000 to $59,999"
"Dentists, all other specialists",Doctoral or professional degree,Internship/residency,0 to 999,Slower than average,"$80,000 or more"
"Dentists, general",Doctoral or professional degree,None,"5,000 to 9,999",As fast as average,"$80,000 or more"
"Derrick operators, oil and gas",No formal educational credential,Short-term on-the-job training,"1,000 to 4,999",Much faster than average,"$40,000 to $59,999"
"Designers, all other",Bachelor’s degree,None,0 to 999,Little or no change,"$60,000 to $79,999"
Desktop publishers,Associate’s degree,Short-term on-the-job training,Declining,Decline,"$40,000 to $59,999"
Detectives and criminal investigators,High school diploma or equivalent,Moderate-term on-the-job training,"1,000 to 4,999",Slower than average,"$80,000 or more"
Diagnostic medical sonographers,Associate’s degree,None,"10,000 to 49,999",Much faster than average,"$60,000 to $79,999"
Dietetic technicians,Associate’s degree,None,"1,000 to 4,999",As fast as average,"Less than $30,000"
Dietitians and nutritionists,Bachelor’s degree,Internship/residency,"5,000 to 9,999",Faster than average,"$60,000 to $79,999"
Dining room and cafeteria attendants and bartender helpers,No formal educational credential,Short-term on-the-job training,"50,000 or more",Much faster than average,"Less than $30,000"
"Directors, religious activities and education",Bachelor’s degree,None,"1,000 to 4,999",Slower than average,"$40,000 to $59,999"
Dishwashers,No formal educational credential,Short-term on-the-job training,"50,000 or more",Much faster than average,"Less than $30,000"
"Dispatchers, except police, fire, and ambulance",High school diploma or equivalent,Moderate-term on-the-job training,"5,000 to 9,999",Slower than average,"$40,000 to $59,999"
"Door-to-door sales workers, news and street vendors, and related workers",No formal educational credential,Short-term on-the-job training,Declining,Decline,"Less than $30,000"
"Drafters, all other",Associate’s degree,None,Declining,Decline,"$40,000 to $59,999"
Dredge operators,High school diploma or equivalent,Moderate-term on-the-job training,0 to 999,Slower than average,"$40,000 to $59,999"
"Drilling and boring machine tool setters, operators, and tenders, metal and plastic",High school diploma or equivalent,Moderate-term on-the-job training,Declining,Decline,"$30,000 to $39,999"
Driver/sales workers,High school diploma or equivalent,Short-term on-the-job training,"50,000 or more",Much faster than average,"Less than $30,000"
Drywall and ceiling tile installers,No formal educational credential,Moderate-term on-the-job training,"5,000 to 9,999",Slower than average,"$40,000 to $59,999"
"Earth drillers, except oil and gas; and explosives workers, ordnance handling experts, and blasters",High school diploma or equivalent,Long-term on-the-job training,"1,000 to 4,999",As fast as average,"$40,000 to $59,999"
"Economics teachers, postsecondary",Doctoral or professional degree,None,"1,000 to 4,999",As fast as average,"$80,000 or more"
Economists,Master’s degree,None,"1,000 to 4,999",Faster than average,"$80,000 or more"
Editors,Bachelor’s degree,None,"5,000 to 9,999",Slower than average,"$60,000 to $79,999"
"Education administrators, all other",Bachelor’s degree,None,"5,000 to 9,999",Faster than average,"$80,000 or more"
"Education administrators, kindergarten through secondary",Master’s degree,None,"10,000 to 49,999",As fast as average,"$80,000 or more"
"Education administrators, postsecondary",Master’s degree,None,"10,000 to 49,999",As fast as average,"$80,000 or more"
"Education and childcare administrators, preschool and daycare",Bachelor’s degree,None,"5,000 to 9,999",Faster than average,"$40,000 to $59,999"
"Education teachers, postsecondary",Doctoral or professional degree,None,"5,000 to 9,999",As fast as average,"$60,000 to $79,999"
"Educational instruction and library workers, all other",Bachelor’s degree,None,"10,000 to 49,999",As fast as average,"$40,000 to $59,999"
"Educational, guidance, and career counselors and advisors",Master’s degree,None,"10,000 to 49,999",Faster than average,"$60,000 to $79,999"
"Electric motor, power tool, and related repairers",High school diploma or equivalent,Moderate-term on-the-job training,"1,000 to 4,999",As fast as average,"$40,000 to $59,999"
Electrical and electronic engineering technologists and technicians,Associate’s degree,None,"1,000 to 4,999",Slower than average,"$60,000 to $79,999"
Electrical and electronics drafters,Associate’s degree,None,0 to 999,Slower than average,"$60,000 to $79,999"
"Electrical and electronics installers and repairers, transportation equipment",Postsecondary nondegree award,Long-term on-the-job training,0 to 999,As fast as average,"$60,000 to $79,999"
"Electrical and electronics repairers, commercial and industrial equipment",Postsecondary nondegree award,Long-term on-the-job training,"1,000 to 4,999",Slower than average,"$60,000 to $79,999"
"Electrical and electronics repairers, powerhouse, substation, and relay",Postsecondary nondegree award,Moderate-term on-the-job training,Declining,Decline,"$80,000 or more"
Electrical engineers,Bachelor’s degree,None,"10,000 to 49,999",As fast as average,"$80,000 or more"
Electrical power-line installers and repairers,High school diploma or equivalent,Long-term on-the-job training,"1,000 to 4,999",Little or no change,"$60,000 to $79,999"
"Electrical, electronic, and electromechanical assemblers, except coil winders, tapers, and finishers",High school diploma or equivalent,Moderate-term on-the-job training,"10,000 to 49,999",As fast as average,"$30,000 to $39,999"
Electricians,High school diploma or equivalent,Apprenticeship,"50,000 or more",As fast as average,"$60,000 to $79,999"
Electro-mechanical and mechatronics technologists and technicians,Associate’s degree,None,Declining,Decline,"$60,000 to $79,999"
"Electronic equipment installers and repairers, motor vehicles",High school diploma or equivalent,Moderate-term on-the-job training,Declining,Decline,"$40,000 to $59,999"
"Electronics engineers, except computer",Bachelor’s degree,None,"5,000 to 9,999",As fast as average,"$80,000 or more"
"Elementary school teachers, except special education",Bachelor’s degree,None,"50,000 or more",As fast as average,"$60,000 to $79,999"
Elevator and escalator installers and repairers,High school diploma or equivalent,Apprenticeship,"1,000 to 4,999",As fast as average,"$80,000 or more"
"Eligibility interviewers, government programs",High school diploma or equivalent,Moderate-term on-the-job training,"5,000 to 9,999",Slower than average,"$40,000 to $59,999"
Embalmers,Associate’s degree,Long-term on-the-job training,0 to 999,Little or no change,"$40,000 to $59,999"
Emergency management directors,Bachelor’s degree,None,0 to 999,As fast as average,"$60,000 to $79,999"
